age,income,total_deductions,old_tax,new_tax
27,1509366,150139,145268.1,131873.2
27,1512369,204448,129876.3,132473.8
25,1511752,245572,117354.0,132350.4
31,2015901,100000,312270.3,279770.3
25,2004946,122872,302122.19999999995,276483.8
29,2023139,150224,299374.5,281941.69999999995
29,1992316,196448,276260.4,272694.8
30,1993919,252773,259843.8,273175.69999999995
29,188434,103694,0.0,0.0
27,183505,121123,0.0,0.0
30,222294,149569,0.0,0.0
26,193499,197529,0.0,0.0
31,201937,250400,0.0,0.0
30,424263,100000,0.0,3713.15
29,379872,127410,0.0,1493.6000000000001
30,405336,145066,0.0,2766.8
30,392632,195254,0.0,2131.6
31,386026,245613,0.0,1801.3000000000002
28,589299,104966,0.0,11964.95
26,612392,127671,0.0,13119.6
32,619624,146922,0.0,13481.2
31,595261,197873,0.0,12263.050000000001
30,601319,246969,0.0,12565.95
27,810321,100000,10516.050000000001,26032.1
30,784644,128466,7808.900000000001,23464.4
27,778623,154713,6195.5,22862.3
26,785785,204864,4046.05,23578.5
26,816471,248353,3405.9,26647.1
31,1005192,101549,43228.600000000006,45519.2
30,989900,120654,36349.2,43990.0
27,985809,147602,30141.4,43580.9
32,1019980,201183,26259.4,46998.0
26,978635,252936,11284.95,42863.5
31,1490915,100000,154774.5,128183.0
26,1524674,123859,157744.5,134934.8
29,1503686,154667,142205.7,130737.20000000001
28,1506826,197011,130444.5,131365.2
31,1498305,247164,112842.3,129661.0
31,1988930,100000,304179.0,271679.0
32,1997160,126244,298774.8,274148.0
32,2005108,150172,293980.8,276532.4
31,1998574,200073,277050.3,274572.19999999995
27,1996295,249156,261641.69999999998,273888.5
27,222218,100777,0.0,0.0
31,183232,120195,0.0,0.0
33,186282,152794,0.0,0.0
32,197758,199535,0.0,0.0
32,187257,253227,0.0,0.0
29,407631,103887,0.0,2881.55
31,384369,129004,0.0,1718.45
29,399957,154725,0.0,2497.8500000000004
31,411432,200758,0.0,3071.6000000000004
28,384520,246554,0.0,1726.0
32,598612,100000,0.0,12430.6
31,600638,125171,0.0,12531.900000000001
28,619037,149339,0.0,13451.85
32,575371,202046,0.0,11268.550000000001
28,602455,245990,0.0,12622.75
30,803402,100775,10131.35,25340.2
33,802566,123689,8943.85,25256.6
33,790530,152247,6914.150000000001,24053.0
27,803133,196981,5307.6,25313.3
28,804245,254695,2477.5,25424.5
27,992590,101410,40736.0,44259.0
27,1003714,123632,38516.4,45371.4
28,1014859,153219,34828.0,46485.9
31,993308,199165,21328.6,44330.8
27,1017295,254564,15046.2,46729.5
27,1504666,100000,158899.8,130933.20000000001
31,1514777,123957,154746.0,132955.4
28,1517552,153646,146671.8,133510.4
29,1476665,203889,119332.8,125333.0
29,1502798,253691,112321.40000000001,130559.6
32,1979097,100000,301229.1,268729.1
30,1977216,121483,294219.9,268164.8
28,1999724,152497,291668.1,274917.19999999995
32,2005422,200395,279008.1,276626.6
28,2019435,249001,268630.19999999995,280830.5
33,203349,101706,0.0,0.0
29,204417,123503,0.0,0.0
31,179865,153221,0.0,0.0
30,214601,201926,0.0,0.0
33,201686,252665,0.0,0.0
33,405782,103258,0.0,2789.1000000000004
29,394872,123330,0.0,2243.6
32,418258,147746,0.0,3412.9
33,423604,203203,0.0,3680.2000000000003
29,378286,250140,0.0,1414.3000000000002
30,612196,103345,442.55,13109.800000000001
33,608731,122780,0.0,12936.550000000001
31,609444,154223,0.0,12972.2
32,593288,201930,0.0,12164.400000000001
33,618938,254928,0.0,13446.900000000001
29,791959,104156,9390.15,24195.9
34,784314,125322,7949.6,23431.4
34,799704,145014,7734.5,24970.4
28,798320,200444,4893.8,24832.0
32,797307,253163,2207.2000000000003,24730.7
32,984794,101272,39204.4,43479.4
29,1004629,123789,38668.0,45462.9
34,984345,153657,28637.6,43434.5
34,978046,195557,18997.8,42804.600000000006
28,984063,254868,11459.75,43406.3
28,1517892,102440,162135.6,133578.4
29,1516052,126992,154218.0,133210.4
34,1485440,148566,138562.2,127088.0
31,1496129,197989,126942.0,129225.8
31,1515314,245475,118451.7,133062.8
29,2017228,104756,311241.6,280168.4
33,1994892,126340,298065.6,273467.6
32,2006796,153017,293633.69999999995,277038.8
32,1984304,204784,271356.0,270291.2
28,2015716,250261,267136.5,279714.8
33,202763,100000,0.0,0.0
29,180108,121793,0.0,0.0
29,209520,146300,0.0,0.0
31,194406,202780,0.0,0.0
29,214123,245290,0.0,0.0
31,420601,102549,0.0,3530.05
33,419314,125697,0.0,3465.7000000000003
34,416055,150101,0.0,3302.75
35,397257,198015,0.0,2362.85
29,422828,250360,0.0,3641.4
35,598803,100000,0.0,12440.150000000001
31,612363,124584,0.0,13118.150000000001
34,579224,148415,0.0,11461.2
31,607888,201836,0.0,12894.400000000001
35,586160,253301,0.0,11808.0
30,806335,104919,10070.800000000001,25633.5
29,807543,126756,9039.35,25754.3
30,820312,154324,8299.4,27031.2
32,815488,200284,5760.200000000001,26548.8
34,784182,254850,1466.6000000000001,23418.2
34,1015404,102311,45118.600000000006,46540.4
30,995946,125981,36493.0,44594.600000000006
31,996143,149423,31844.0,44614.3
29,996151,204647,20800.800000000003,44615.100000000006
29,1019201,245874,17165.4,46920.100000000006
31,1493985,100000,155695.5,128797.0
34,1480929,128973,143086.8,126185.8
30,1521636,145499,150341.1,134327.2
35,1499564,201479,126925.5,129912.8
32,1506076,253555,113256.3,131215.2
31,2019971,100000,313491.3,280991.3
31,2010666,126910,302626.8,278199.8
29,1977872,145697,287152.5,268361.6
30,2021117,195282,285250.5,281335.1
35,2005095,247153,264882.6,276528.5
31,177263,100000,0.0,0.0
36,193037,126373,0.0,0.0
34,180860,149330,0.0,0.0
31,200137,198023,0.0,0.0
31,220800,248473,0.0,0.0
35,394855,101336,0.0,2242.75
32,399772,129142,0.0,2488.6000000000004
34,410060,150697,0.0,3003.0
31,398085,196571,0.0,2404.25
30,421270,252621,0.0,3563.5
34,622208,101665,1027.15,13610.400000000001
36,595257,129855,0.0,12262.85
30,587611,148595,0.0,11880.550000000001
31,623977,197556,0.0,13698.85
32,583007,248788,0.0,11650.35
33,804852,100000,10242.6,25485.2
31,776042,122606,7671.8,22604.2
30,812236,152247,7999.450000000001,26223.6
36,776149,203615,3626.7000000000003,22614.9
32,802224,247244,2749.0,25222.4
32,976619,101850,37453.8,42661.9
36,1012292,122724,40413.600000000006,46229.2
31,985604,154148,28791.2,43560.4
36,1004591,204994,22419.4,45459.100000000006
35,1018706,254572,15326.8,46870.600000000006
36,1495375,100000,156112.5,129075.0
30,1523914,128514,156120.0,134782.8
33,1493159,149180,140693.7,128631.8
32,1507387,204511,128362.8,131477.4
36,1505634,248564,114621.0,131126.8
33,2024268,103426,313752.6,282280.4
35,2022752,129021,305619.3,281825.6
30,1975395,154600,283738.5,267618.5
32,2024803,203931,283761.6,282440.9
30,1978006,245912,257128.19999999998,268401.8
33,184425,101109,0.0,0.0
34,213547,121862,0.0,0.0
37,217947,153173,0.0,0.0
31,214905,197126,0.0,0.0
35,218503,251534,0.0,0.0
35,378979,100000,0.0,1448.95
36,399484,129755,0.0,2474.2000000000003
31,375955,152617,0.0,1297.75
33,397660,204409,0.0,2383.0
36,375541,253827,0.0,1277.0500000000002
31,579786,100000,0.0,11489.300000000001
35,592371,127906,0.0,12118.550000000001
37,606104,150736,0.0,12805.2
33,587551,201558,0.0,11877.550000000001
37,618559,253746,0.0,13427.95
32,787192,100000,9359.6,23719.2
35,803689,122533,9057.800000000001,25368.9
34,823569,147456,8805.65,27356.9
36,809271,197541,5586.5,25927.1
35,819209,250716,3424.65,26920.9
34,996752,100000,41850.4,44675.2
36,1016426,120231,41739.0,46642.600000000006
34,1002195,150767,32785.600000000006,45219.5
34,1014397,195426,26294.2,46439.7
36,993912,252447,12073.25,44391.2
35,1515828,100000,162248.4,133165.6
36,1496435,121156,150083.7,129287.0
32,1493633,153620,139503.9,128726.6
36,1512759,204458,129990.3,132551.8
33,1497205,251297,111681.6,129441.0
32,1993938,100293,305593.5,273181.4
35,1985373,125419,295486.19999999995,270611.9
34,2011012,145920,297027.6,278303.6
32,2004281,197285,279598.8,276284.3
35,2013060,254590,265041.0,278918.0
35,194015,100000,0.0,0.0
38,213438,121810,0.0,0.0
35,182030,146735,0.0,0.0
35,188871,198489,0.0,0.0
35,183742,252552,0.0,0.0
33,402901,101025,0.0,2645.05
37,415950,127311,0.0,3297.5
38,375365,150545,0.0,1268.25
37,393384,202754,0.0,2169.2000000000003
35,409496,251856,0.0,2974.8
33,605576,100000,278.8,12778.800000000001
38,617474,126760,0.0,13373.7
32,621319,154569,0.0,13565.95
35,582056,202584,0.0,11602.800000000001
32,606127,250764,0.0,12806.35
36,804163,100000,10208.150000000001,25416.3
33,797413,120942,8823.550000000001,24741.3
37,804644,151557,7654.35,25464.4
36,779834,203473,3818.05,22983.4
38,776026,246863,1458.15,22602.6
33,1006634,100000,43826.8,45663.4
33,977491,126459,32706.4,42749.100000000006
37,1013010,147321,35637.8,46301.0
32,1009387,203788,23619.800000000003,45938.7
32,984804,254243,11528.050000000001,43480.4
34,1523894,100000,164668.2,134778.8
38,1475286,122758,143258.4,125057.20000000001
35,1513093,153322,145431.3,132618.6
35,1475990,201526,119839.2,125198.0
33,1502191,252442,112449.8,130438.20000000001
35,1978190,100000,300957.0,268457.0
38,1993905,123910,298498.5,273171.5
35,1990703,149314,289916.69999999995,272210.9
32,1985281,199944,273101.1,270584.3
33,2017448,246502,268783.8,280234.4
38,204975,100000,0.0,0.0
33,196723,123034,0.0,0.0
35,212750,154429,0.0,0.0
36,216158,200645,0.0,0.0
33,220559,249186,0.0,0.0
36,414279,100000,0.0,3213.9500000000003
38,417559,125335,0.0,3377.9500000000003
35,403424,154301,0.0,2671.2000000000003
37,410241,202818,0.0,3012.05
36,385491,250090,0.0,1774.5500000000002
35,589387,101142,0.0,11969.35
39,622819,127380,0.0,13640.95
34,599777,149050,0.0,12488.85
33,603724,201234,0.0,12686.2
37,612580,249694,0.0,13129.0
33,805469,100000,10273.45,25546.9
39,823312,129905,9670.35,27331.2
33,808792,149169,7981.150000000001,25879.2
37,811415,200686,5536.450000000001,26141.5
36,789322,254304,1750.9,23932.2
36,995484,100000,41596.8,44548.4
39,1005593,125741,38470.4,45559.3
35,987682,153116,29413.2,43768.2
37,1008160,198427,24446.6,45816.0
34,1009359,246325,15106.8,45935.9
39,1516330,100000,162399.0,133266.0
37,1499337,121102,150970.5,129867.4
39,1522580,145398,150654.6,134516.0
37,1510801,197503,131489.4,132160.2
36,1497707,252598,111521.8,129541.4
36,1983861,101732,302138.69999999995,270158.3
39,2020825,125579,306073.8,281247.5
36,1989052,146427,290287.5,271715.6
38,1994029,195951,276923.4,273208.69999999995
38,1981867,254007,255858.0,269560.1
36,188269,102635,0.0,0.0
36,215444,126467,0.0,0.0
36,192587,151404,0.0,0.0
37,202804,203113,0.0,0.0
34,207563,252082,0.0,0.0
39,424238,104077,0.0,3711.9
37,416801,126253,0.0,3340.05
40,411224,150909,0.0,3061.2000000000003
34,403779,199977,0.0,2688.9500000000003
37,393420,252811,0.0,2171.0
39,609870,100000,493.5,12993.5
37,586898,120484,0.0,11844.900000000001
37,619381,150487,0.0,13469.050000000001
38,596779,201200,0.0,12338.95
35,596890,252478,0.0,12344.5
37,801615,100000,10080.75,25161.5
40,796424,123429,8649.75,24642.4
36,790335,152764,6878.55,24033.5
40,805972,199752,5311.0,25597.2
39,790545,254837,1785.4,24054.5
40,1015624,100000,45624.8,46562.4
37,978013,129057,32291.2,42801.3
37,979213,153368,27669.0,42921.3
36,986882,196536,20569.2,43688.2
34,1011468,245217,15750.2,46146.8
35,1486619,104479,152142.0,127323.8
38,1504622,127430,150657.6,130924.4
36,1500546,149239,142892.1,130109.20000000001
35,1508252,199090,130248.6,131650.4
40,1517268,250520,117524.4,133453.6
40,2013559,100000,311567.69999999995,279067.69999999995
38,2021049,129440,304982.69999999995,281314.69999999995
36,1995726,145672,292516.19999999995,273717.8
38,1984882,201489,272517.9,270464.6
35,1977339,253781,254567.4,268201.7
37,221491,101144,0.0,0.0
40,211968,127328,0.0,0.0
39,202940,153809,0.0,0.0
39,175794,200108,0.0,0.0
37,187506,254127,0.0,0.0
37,387055,100000,0.0,1852.75
39,402965,126834,0.0,2648.25
35,410090,150814,0.0,3004.5
41,420732,197547,0.0,3536.6000000000004
37,421539,252779,0.0,3576.9500000000003
39,594992,101058,0.0,12249.6
40,578641,127690,0.0,11432.050000000001
39,603271,148270,0.0,12663.550000000001
39,577160,199704,0.0,11358.0
40,579395,245489,0.0,11469.75
40,796814,103640,9658.7,24681.4
37,820937,120137,10040.0,27093.7
35,784708,150614,6704.700000000001,23470.8
37,812769,198751,5700.900000000001,26276.9
38,802169,252557,2480.6000000000004,25216.9
39,992237,103341,40279.2,44223.7
40,978551,126098,32990.600000000006,42855.100000000006
36,975566,151735,27266.2,42556.600000000006
38,993670,199109,21412.2,44367.0
40,987159,245072,12104.35,43715.9
39,1513468,100000,161540.4,132693.6
39,1492064,129718,146203.8,128412.8
39,1489596,151978,138785.4,127919.20000000001
36,1492495,203644,124155.3,128499.0
39,1500683,249601,112824.6,130136.6
35,2017187,104233,311386.19999999995,280156.1
35,1982453,127627,293947.8,269735.9
40,1981176,150965,286563.3,269352.8
36,2019546,196501,284413.5,280863.8
39,2007286,251397,264266.69999999995,277185.8
39,182166,100000,0.0,0.0
40,194931,122453,0.0,0.0
40,211814,145401,0.0,0.0
36,200739,202312,0.0,0.0
40,177733,253677,0.0,0.0
41,412029,100000,0.0,3101.4500000000003
38,401942,124409,0.0,2597.1000000000004
39,389259,147911,0.0,1962.95
41,419316,201439,0.0,3465.8
42,382718,245220,0.0,1635.9
42,594211,100000,0.0,12210.550000000001
41,619081,122122,0.0,13454.050000000001
41,615395,145424,0.0,13269.75
37,607194,197101,0.0,12859.7
42,594477,249857,0.0,12223.85
37,788242,100000,9412.1,23824.2
42,790070,128587,8074.150000000001,24007.0
39,808689,145284,8170.25,25868.9
42,799849,200649,4960.0,24984.9
42,782954,251219,1586.75,23295.4
41,988335,103511,39464.8,43833.5
40,1002007,121004,38700.600000000006,45200.7
39,1020475,151653,36264.4,47047.5
38,1000129,195766,23372.6,45012.9
37,1008602,253133,13593.8,45860.2
38,1498963,100000,157188.9,129792.6
41,1510780,127282,152549.4,132156.0
39,1488840,154682,137747.4,127768.0
41,1493698,195176,127056.6,128739.6
36,1488968,247878,110718.0,127793.6
36,2016616,100000,312484.8,279984.8
38,2007261,126016,301873.5,277178.3
37,1981489,146729,287928.0,269446.7
40,1997481,203916,275569.5,274244.3
42,2005668,247463,264961.5,276700.4
38,182121,100000,0.0,0.0
43,221397,122693,0.0,0.0
38,202010,150710,0.0,0.0
41,218605,197039,0.0,0.0
43,220701,250545,0.0,0.0
43,422836,100000,0.0,3641.8
40,388155,122007,0.0,1907.75
43,384546,147201,0.0,1727.3000000000002
42,377503,196685,0.0,1375.15
42,375327,248723,0.0,1266.3500000000001
38,576567,100000,0.0,11328.35
39,593631,128193,0.0,12181.550000000001
38,578822,145213,0.0,11441.1
43,577454,196393,0.0,11372.7
42,606169,248260,0.0,12808.45
41,818738,100000,10936.900000000001,26873.8
42,823209,125246,9898.150000000001,27320.9
37,803261,149726,7676.75,25326.1
37,799129,197801,5066.400000000001,24912.9
39,818808,253204,3280.2000000000003,26880.8
39,1015463,100000,45592.6,46546.3
39,990032,125167,35473.0,44003.2
37,1014749,148611,35727.600000000006,46474.9
41,984897,203533,18772.8,43489.7
39,996706,252747,12197.95,44670.600000000006
41,1500453,100000,157635.9,130090.6
43,1497760,125621,149141.7,129552.0
39,1493126,145609,141755.1,128625.20000000001
39,1491851,201871,124494.0,128370.20000000001
41,1491638,251179,110591.8,128327.6
40,1981882,102021,301458.3,269564.6
39,2005273,121783,302547.0,276581.9
42,1987931,148231,289410.0,271379.3
43,2006239,201515,278917.19999999995,276871.69999999995
41,2008475,253127,264104.4,277542.5
42,223322,100000,0.0,0.0
44,207731,124837,0.0,0.0
44,180743,145175,0.0,0.0
41,202155,197170,0.0,0.0
40,204608,246901,0.0,0.0
39,399617,100000,0.0,2480.8500000000004
40,391304,125011,0.0,2065.2000000000003
41,422311,150039,0.0,3615.55
40,379526,199864,0.0,1476.3000000000002
39,397274,251834,0.0,2363.7000000000003
38,576103,103049,0.0,11305.150000000001
40,614362,129101,0.0,13218.1
40,577290,149624,0.0,11364.5
39,595303,201665,0.0,12265.150000000001
44,604063,254367,0.0,12703.150000000001
40,790950,100000,9547.5,24095.0
38,804107,129698,8720.45,25410.7
38,792494,149757,7136.85,24249.4
42,794956,204710,4512.3,24495.6
44,814484,245137,3467.3500000000004,26448.4
41,992957,101802,40731.0,44295.7
41,1017446,129970,39995.2,46744.600000000006
40,1008627,147106,34804.2,45862.7
43,992263,204672,20018.2,44226.3
39,1017212,254792,14984.0,46721.2
42,1498933,100000,157179.9,129786.6
43,1482898,124039,145157.7,126579.6
40,1508112,150403,144812.7,131622.4
40,1514053,203518,130660.5,132810.6
42,1498110,245191,113375.7,129622.0
43,1993295,100000,305488.5,272988.5
39,1993175,128524,296895.3,272952.5
44,2023246,146592,300496.19999999995,281973.8
39,2024491,204844,283394.1,282347.3
41,2014782,252329,266235.9,279434.6
41,180028,104565,0.0,0.0
44,223474,128054,0.0,0.0
42,220434,152465,0.0,0.0
42,201189,196219,0.0,0.0
42,191151,250026,0.0,0.0
44,392698,100000,0.0,2134.9
39,416465,121619,0.0,3323.25
45,397782,154053,0.0,2389.1
43,383066,201018,0.0,1653.3000000000002
45,401157,253703,0.0,2557.8500000000004
41,614140,100000,707.0,13207.0
40,577993,127759,0.0,11399.650000000001
43,612644,145806,0.0,13132.2
41,591493,204790,0.0,12074.650000000001
44,615910,253080,0.0,13295.5
43,779210,100000,8960.5,22921.0
43,776818,129558,7363.0,22681.8
40,777955,148823,6456.6,22795.5
44,805293,201893,5170.0,25529.3
40,779944,250586,1467.9,22994.4
41,1018786,100000,46257.200000000004,46878.600000000006
43,1007343,121854,39597.8,45734.3
45,1008771,148590,34536.2,45877.100000000006
45,1015060,200977,25316.6,46506.0
42,979965,254891,11253.7,42996.5
40,1511718,104986,159519.6,132343.6
44,1485857,124879,145793.4,127171.4
41,1481417,153987,135729.0,126283.4
41,1482853,195067,123835.8,126570.6
42,1524984,252466,119255.4,134996.8
43,2008723,100000,310116.9,277616.9
40,1991659,123006,298095.9,272497.69999999995
42,2024850,149671,300053.69999999995,282455.0
41,2011950,197340,281883.0,278585.0
39,2007275,245582,266007.9,277182.5
42,183247,100000,0.0,0.0
40,179042,122388,0.0,0.0
40,224390,153353,0.0,0.0
41,177182,196804,0.0,0.0
45,201788,245189,0.0,0.0
44,413989,100000,0.0,3199.4500000000003
40,402119,128081,0.0,2605.9500000000003
45,389280,153109,0.0,1964.0
40,409492,202455,0.0,2974.6000000000004
41,389598,253249,0.0,1979.9
42,581825,100368,0.0,11591.25
44,580770,127246,0.0,11538.5
44,617204,152408,0.0,13360.2
42,585250,204021,0.0,11762.5
40,619141,254252,0.0,13457.050000000001
43,782678,100000,9133.9,23267.8
45,789678,120277,8470.050000000001,23967.8
44,807906,145212,8134.700000000001,25790.6
43,796182,203444,4636.900000000001,24618.2
45,783013,254397,1430.8000000000002,23301.3
45,975174,100000,37534.8,42517.4
42,998139,128251,36477.600000000006,44813.9
40,1014816,153561,34751.0,46481.600000000006
40,1003445,197942,23600.6,45344.5
46,1023794,248977,17463.4,47379.4
45,1482637,100000,152291.1,126527.4
46,1524084,126281,156840.9,134816.8
41,1475906,153161,134323.5,125181.20000000001
41,1481248,198778,122241.0,126249.6
42,1499538,248705,112749.9,129907.6
43,2019538,100000,313361.4,280861.4
44,1995737,120907,299949.0,273721.1
41,1993546,154771,289132.5,273063.8
44,1993222,204486,274120.8,272966.6
43,2024856,247781,270622.5,282456.8
42,221711,102223,0.0,0.0
43,175887,125019,0.0,0.0
41,186611,147218,0.0,0.0
44,206391,195913,0.0,0.0
44,202196,248696,0.0,0.0
45,412077,100000,0.0,3103.8500000000004
41,406152,129171,0.0,2807.6000000000004
45,386397,146223,0.0,1819.8500000000001
42,382440,197114,0.0,1622.0
45,388794,253721,0.0,1939.7
42,616962,100000,848.1,13348.1
44,586684,127168,0.0,11834.2
41,584163,153792,0.0,11708.150000000001
43,583651,195954,0.0,11682.550000000001
41,612055,248876,0.0,13102.75
43,786010,103408,9130.1,23601.0
41,777265,125692,7578.650000000001,22726.5
43,821746,149450,8614.800000000001,27174.6
42,781447,198975,4123.6,23144.7
47,793965,253294,2033.5500000000002,24396.5
45,986932,100921,39702.2,43693.2
44,1023746,127011,41847.0,47374.600000000006
44,984656,145110,30409.2,43465.600000000006
44,1004802,199709,23518.6,45480.2
44,986659,254742,11595.85,43665.9
47,1518214,103274,161982.0,133642.8
43,1519776,125541,155770.5,133955.2
47,1524339,154138,148560.3,134867.8
47,1520356,199164,133857.6,134071.2
47,1482665,250436,108945.8,126533.0
47,1983075,104448,301088.1,269922.5
41,1979592,122192,294720.0,268877.6
45,1993594,151689,290071.5,273078.19999999995
41,1987191,197502,274406.69999999995,271157.3
46,2004920,245111,265442.69999999995,276476.0
45,215423,101094,0.0,0.0
44,197304,121720,0.0,0.0
42,183530,145004,0.0,0.0
48,204887,196380,0.0,0.0
44,197095,252105,0.0,0.0
46,410615,101611,0.0,3030.75
46,400273,128047,0.0,2513.65
44,397291,145152,0.0,2364.55
48,406144,196003,0.0,2807.2000000000003
44,422515,251409,0.0,3625.75
47,592158,100000,0.0,12107.900000000001
42,624081,128006,0.0,13704.050000000001
48,584953,152875,0.0,11747.650000000001
43,577121,202359,0.0,11356.050000000001
47,623522,249860,0.0,13676.1
42,782167,101746,9021.050000000001,23216.7
48,798818,126920,8594.9,24881.8
42,778989,148422,6528.35,22898.9
45,816981,200530,5822.55,26698.1
48,815564,252176,3169.4,26556.4
44,1017355,100000,45971.0,46735.5
44,985212,127258,34090.8,43521.2
43,1001822,146166,33631.2,45182.2
45,1013514,196487,25905.4,46351.4
48,1015386,252781,15021.0,46538.600000000006
48,1478747,104541,149761.8,125749.4
42,1492760,129055,146611.5,128552.0
42,1524142,145345,151139.1,134828.4
45,1485806,200643,123048.9,127161.20000000001
46,1518590,254977,116583.9,133718.0
45,1993530,104263,304280.1,273059.0
45,1995354,121574,299634.0,273606.19999999995
44,2020456,148905,298965.3,281136.8
45,2019903,204669,282070.19999999995,280970.9
45,1986140,248487,258795.9,270842.0
46,211098,101183,0.0,0.0
44,196596,123400,0.0,0.0
45,193158,154658,0.0,0.0
49,213716,202503,0.0,0.0
49,182768,247310,0.0,0.0
48,400402,102759,0.0,2520.1000000000004
48,412984,120677,0.0,3149.2000000000003
49,397375,151085,0.0,2368.75
48,402256,195358,0.0,2612.8
46,423115,250359,0.0,3655.75
48,590191,100000,0.0,12009.550000000001
