name,age,income,total_deductions,old_bracket,new_bracket
case_418,39,1982757,104737,30%,30%
case_419,36,1998841,146753,30%,30%
case_420,36,2004447,197753,30%,30%
case_421,39,192276,50000,0%,0%
case_422,37,212957,71099,0%,0%
case_423,34,216660,101905,0%,0%
case_424,37,208418,147222,0%,0%
case_425,34,176466,202447,0%,0%
case_426,34,411703,54166,0%,5%
case_427,40,410135,73432,0%,5%
case_428,38,395382,100177,0%,5%
case_429,39,410177,153797,0%,5%
case_430,39,423095,203963,0%,5%
case_431,34,608672,50851,5%,5%
case_432,38,606689,77073,5%,5%
case_433,36,603281,102522,5%,5%
case_434,34,615515,148254,0%,5%
case_435,34,602121,204492,0%,5%
case_436,38,780273,51681,5%,10%
case_437,34,823801,77629,5%,10%
case_438,36,784958,104302,5%,10%
case_439,38,809591,145288,5%,10%
case_440,37,802918,202445,5%,10%
case_441,34,1005879,50866,20%,10%
case_442,34,986598,78903,20%,10%
case_443,38,1010757,96201,20%,10%
case_444,34,995941,145453,20%,10%
case_445,34,999961,198063,20%,10%
case_446,40,1485506,51258,30%,20%
case_447,39,1479986,74877,30%,20%
case_448,38,1501166,96114,30%,20%
case_449,35,1521428,149968,30%,20%
case_450,38,1522522,202764,30%,20%
case_451,38,2018460,50325,30%,30%
case_452,36,2011799,73343,30%,30%
case_453,34,1977356,95963,30%,30%
case_454,37,2005358,153811,30%,30%
case_455,40,1998021,199662,30%,30%
case_456,41,211336,50000,0%,0%
case_457,37,190854,70499,0%,0%
case_458,37,206327,102911,0%,0%
case_459,40,191599,149186,0%,0%
case_460,36,182647,199054,0%,0%
case_461,38,386500,50000,0%,5%
case_462,39,409051,74835,0%,5%
case_463,40,407531,96009,0%,5%
case_464,38,415363,145443,0%,5%
case_465,35,409687,201740,0%,5%
case_466,35,595409,51571,5%,5%
case_467,41,588701,74118,5%,5%
case_468,37,575627,100412,0%,5%
case_469,41,614365,150757,0%,5%
case_470,39,597571,196801,0%,5%
case_471,35,823578,51336,20%,10%
case_472,35,808784,76620,5%,10%
case_473,41,788731,98795,5%,10%
case_474,38,781714,150330,5%,10%
case_475,38,809060,200453,5%,10%
case_476,40,1023446,50000,20%,10%
case_477,35,993479,76849,20%,10%
case_478,38,975970,102276,20%,10%
case_479,37,1020844,147931,20%,10%
case_480,37,1005047,196472,20%,10%
case_481,39,1505884,50000,30%,20%
case_482,38,1475955,73956,30%,20%
case_483,38,1498273,103587,30%,20%
case_484,37,1516870,153240,30%,20%
case_485,39,1486727,203808,30%,20%
case_486,38,1999456,52827,30%,30%
case_487,41,1988203,70253,30%,30%
case_488,39,2023254,101811,30%,30%
case_489,40,1980433,145929,30%,30%
case_490,37,1990420,195380,30%,30%
case_491,38,213732,50000,0%,0%
case_492,36,205945,73666,0%,0%
case_493,39,177866,98495,0%,0%
case_494,41,193390,145489,0%,0%
case_495,38,183459,196750,0%,0%
case_496,39,414147,53375,0%,5%
case_497,38,402570,79772,0%,5%
case_498,39,400385,97066,0%,5%
case_499,36,422520,147240,0%,5%
case_500,38,382948,203264,0%,5%
case_501,42,599222,50000,5%,5%
case_502,41,622466,79742,5%,5%
case_503,39,616790,96959,5%,5%
case_504,38,611610,154286,0%,5%
case_505,37,622026,197849,0%,5%
case_506,38,797407,50000,5%,10%
case_507,40,779983,75566,5%,10%
case_508,37,778955,98721,5%,10%
case_509,36,785163,145039,5%,10%
case_510,37,783308,199275,5%,10%
case_511,41,1014419,50000,20%,10%
case_512,37,982896,74325,20%,10%
case_513,36,986397,97981,20%,10%
case_514,41,990276,153134,20%,10%
case_515,36,1013020,196962,20%,10%
case_516,36,1515331,50000,30%,20%
case_517,37,1518360,70902,30%,20%
case_518,40,1511102,104124,30%,20%
case_519,37,1511110,151226,30%,20%
case_520,42,1521457,203202,30%,20%
case_521,42,2017527,52944,30%,30%
case_522,39,2015935,78499,30%,30%
case_523,38,2004232,101895,30%,30%
case_524,37,2013066,149206,30%,30%
case_525,37,1988237,195870,30%,30%
case_526,43,175171,50000,0%,0%
case_527,41,190856,72631,0%,0%
case_528,43,190471,97545,0%,0%
case_529,39,199486,153447,0%,0%
case_530,42,193525,202298,0%,0%
case_531,41,402130,54393,0%,5%
case_532,39,408040,78479,0%,5%
case_533,37,416932,101257,0%,5%
case_534,39,420259,151667,0%,5%
case_535,38,390608,199344,0%,5%
case_536,37,616284,50000,5%,5%
case_537,42,620137,70021,5%,5%
case_538,42,600015,95033,5%,5%
case_539,41,619025,147736,0%,5%
case_540,42,605589,200195,0%,5%
case_541,41,812239,53289,20%,10%
case_542,38,784152,71215,5%,10%
case_543,37,792386,98750,5%,10%
case_544,37,823229,147148,5%,10%
case_545,39,792512,203796,5%,10%
case_546,43,999712,51643,20%,10%
case_547,43,990221,75106,20%,10%
case_548,41,997411,101990,20%,10%
case_549,43,994259,147496,20%,10%
case_550,37,982994,203413,20%,10%
case_551,40,1514930,50000,30%,20%
case_552,40,1506744,70532,30%,20%
case_553,43,1507125,95767,30%,20%
case_554,43,1500471,151630,30%,20%
case_555,40,1518189,201608,30%,20%
case_556,39,2022993,50000,30%,30%
case_557,39,2012100,78313,30%,30%
case_558,40,2010731,102660,30%,30%
case_559,37,2001409,152408,30%,30%
case_560,43,1989803,198425,30%,30%
case_561,39,214877,50000,0%,0%
case_562,44,197344,77998,0%,0%
case_563,39,176357,95284,0%,0%
case_564,39,198148,153023,0%,0%
case_565,39,199051,196373,0%,0%
case_566,44,419134,54856,0%,5%
case_567,43,390815,76400,0%,5%
case_568,38,408002,99033,0%,5%
case_569,38,423877,149918,0%,5%
case_570,42,394037,200813,0%,5%
case_571,43,610223,50000,5%,5%
case_572,39,583920,77082,5%,5%
case_573,44,617461,95794,5%,5%
case_574,44,594943,149473,0%,5%
case_575,40,576609,203710,0%,5%
case_576,40,812250,52111,20%,10%
case_577,38,806248,72580,5%,10%
case_578,39,807369,104151,5%,10%
case_579,42,785433,145241,5%,10%
case_580,43,798085,201273,5%,10%
case_581,43,1007458,50000,20%,10%
case_582,43,980342,74250,20%,10%
case_583,39,986588,101713,20%,10%
case_584,38,989487,152250,20%,10%
case_585,40,999836,200447,20%,10%
case_586,43,1520426,50000,30%,20%
case_587,41,1523167,78013,30%,20%
case_588,38,1523750,104961,30%,20%
case_589,39,1518649,145654,30%,20%
case_590,44,1502317,195082,30%,20%
case_591,43,1976742,52085,30%,30%
case_592,38,2020487,79849,30%,30%
case_593,39,1978711,95861,30%,30%
case_594,41,1994559,151896,30%,30%
case_595,39,2009422,199374,30%,30%
case_596,44,196459,54286,0%,0%
case_597,44,175763,75583,0%,0%
case_598,40,189164,103635,0%,0%
case_599,44,221485,152687,0%,0%
case_600,41,192776,202511,0%,0%
case_601,45,376216,50000,0%,5%
case_602,39,412620,76181,0%,5%
case_603,45,388748,104043,0%,5%
case_604,40,418932,150202,0%,5%
case_605,43,424357,201421,0%,5%
case_606,44,591407,51839,5%,5%
case_607,40,615337,72186,5%,5%
case_608,44,582349,95771,0%,5%
case_609,39,619545,147535,0%,5%
case_610,44,597148,199718,0%,5%
case_611,40,785976,51978,5%,10%
case_612,41,794991,70815,5%,10%
case_613,42,778143,100917,5%,10%
case_614,44,802448,146565,5%,10%
case_615,41,814285,203223,5%,10%
case_616,42,984344,51360,20%,10%
case_617,40,1007865,75755,20%,10%
case_618,40,997581,103252,20%,10%
case_619,40,1020208,145166,20%,10%
case_620,43,990148,201469,20%,10%
case_621,43,1518021,50000,30%,20%
case_622,40,1502501,75254,30%,20%
case_623,39,1481390,104857,30%,20%
case_624,43,1486712,154457,30%,20%
case_625,42,1523079,198735,30%,20%
case_626,39,1997820,50798,30%,30%
case_627,45,1996059,72403,30%,30%
case_628,39,2023833,101059,30%,30%
case_629,40,2019271,150678,30%,30%
case_630,45,1989456,203302,30%,30%
case_631,41,204918,53129,0%,0%
case_632,43,175415,78088,0%,0%
case_633,46,186428,104709,0%,0%
case_634,46,213898,147519,0%,0%
case_635,42,189297,204909,0%,0%
case_636,40,409016,50000,0%,5%
case_637,43,390277,72661,0%,5%
case_638,42,423024,98548,0%,5%
case_639,44,395246,153941,0%,5%
case_640,44,395007,197240,0%,5%
case_641,45,577310,53635,5%,5%
case_642,43,601594,71383,5%,5%
case_643,42,615276,99602,5%,5%
case_644,44,613603,150873,0%,5%
case_645,46,598072,203334,0%,5%
case_646,46,792031,50316,5%,10%
case_647,46,798911,70968,5%,10%
case_648,42,775134,95913,5%,10%
case_649,43,796660,153763,5%,10%
case_650,45,816696,195187,5%,10%
case_651,43,993990,54888,20%,10%
case_652,42,987108,70724,20%,10%
case_653,42,1015750,104695,20%,10%
case_654,42,986869,153009,20%,10%
case_655,40,983040,204488,20%,10%
case_656,46,1510830,52815,30%,20%
case_657,40,1487668,75245,30%,20%
case_658,46,1488864,102261,30%,20%
case_659,42,1499681,148529,30%,20%
case_660,41,1494326,203978,30%,20%
case_661,45,1984015,51740,30%,30%
case_662,45,2012778,70363,30%,30%
case_663,43,1980815,102561,30%,30%
case_664,42,2010656,145416,30%,30%
case_665,46,2005161,201855,30%,30%
case_666,44,209690,50000,0%,0%
case_667,45,178568,75870,0%,0%
case_668,44,200865,97356,0%,0%
case_669,44,213668,152740,0%,0%
case_670,46,216624,202816,0%,0%
case_671,45,401251,52732,0%,5%
case_672,46,399632,76131,0%,5%
case_673,44,389925,97911,0%,5%
case_674,44,413149,145363,0%,5%
case_675,43,414966,204879,0%,5%
case_676,47,615542,50000,5%,5%
case_677,45,582905,74464,5%,5%
case_678,44,576539,102357,0%,5%
case_679,41,602606,145911,0%,5%
case_680,43,577422,196520,0%,5%
case_681,43,784881,52604,5%,10%
case_682,46,798379,75041,5%,10%
case_683,41,785533,97104,5%,10%
case_684,44,778991,146916,5%,10%
case_685,43,797591,202567,5%,10%
case_686,41,1011635,54373,20%,10%
case_687,44,1006237,74188,20%,10%
case_688,47,1016307,101098,20%,10%
case_689,47,993893,151223,20%,10%
case_690,47,992730,204203,20%,10%
case_691,41,1496041,50000,30%,20%
case_692,47,1477681,75041,30%,20%
case_693,43,1490531,99726,30%,20%
case_694,41,1479500,151585,30%,20%
case_695,41,1477167,197687,30%,20%
case_696,43,1982417,50000,30%,30%
case_697,47,1984969,75673,30%,30%
case_698,41,1984901,103932,30%,30%
case_699,44,2014201,153899,30%,30%
case_700,45,2002943,195534,30%,30%
case_701,46,220223,50000,0%,0%
case_702,46,177861,70090,0%,0%
case_703,43,191856,101214,0%,0%
case_704,44,183128,149419,0%,0%
case_705,48,189390,202188,0%,0%
case_706,43,412257,52675,0%,5%
case_707,45,395705,77164,0%,5%
case_708,46,395672,101386,0%,5%
case_709,42,381838,147569,0%,5%
case_710,46,410116,197853,0%,5%
case_711,43,597087,50000,5%,5%
case_712,42,619012,73891,5%,5%
case_713,42,618380,98559,5%,5%
case_714,43,604120,148486,0%,5%
case_715,42,588816,196224,0%,5%
case_716,42,819434,50000,20%,10%
case_717,42,824040,70621,20%,10%
case_718,44,788092,98044,5%,10%
case_719,46,783505,148059,5%,10%
case_720,46,816016,202581,5%,10%
case_721,43,1019837,50000,20%,10%
case_722,45,987126,78075,20%,10%
case_723,47,1000947,97276,20%,10%
case_724,48,1010631,149987,20%,10%
case_725,45,1012102,200000,20%,10%
case_726,45,1510054,50000,30%,20%
case_727,48,1518380,75607,30%,20%
case_728,44,1496823,98556,30%,20%
case_729,45,1495896,149303,30%,20%
case_730,45,1512426,204681,30%,20%
case_731,44,1996525,52343,30%,30%
case_732,48,2021852,78468,30%,30%
case_733,47,1977179,102056,30%,30%
case_734,47,2000769,154846,30%,30%
case_735,42,1982613,200235,30%,30%
case_736,45,216112,50000,0%,0%
case_737,46,182630,73139,0%,0%
case_738,46,183529,96003,0%,0%
case_739,46,181978,153770,0%,0%
case_740,44,218012,201197,0%,0%
case_741,45,388532,52709,0%,5%
case_742,47,376472,73085,0%,5%
case_743,44,413417,103542,0%,5%
case_744,46,414072,149275,0%,5%
case_745,43,415235,204901,0%,5%
case_746,49,579429,50000,5%,5%
case_747,44,584173,71015,5%,5%
case_748,46,606608,103917,5%,5%
case_749,43,612315,152107,0%,5%
case_750,44,593092,195542,0%,5%
case_751,46,775468,54368,5%,10%
case_752,45,821958,74908,5%,10%
case_753,44,822524,98677,5%,10%
case_754,48,791556,146377,5%,10%
case_755,43,795336,195651,5%,10%
case_756,46,990795,50000,20%,10%
case_757,43,1015949,77587,20%,10%
case_758,45,1020465,97242,20%,10%
case_759,43,978002,151098,20%,10%
case_760,47,1001594,199654,20%,10%
